n,time,AF3_theta,AF3_alpha,AF3_betaL,AF3_betaH,AF3_gamma,T7_theta,T7_alpha,T7_betaL,T7_betaH,T7_gamma,Pz_theta,Pz_alpha,Pz_betaL,Pz_betaH,Pz_gamma,T8_theta,T8_alpha,T8_betaL,T8_betaH,T8_gamma,AF4_theta,AF4_alpha,AF4_betaL,AF4_betaH,AF4_gamma
165,20795,gauche,19,10,4,2,2,164,109,42,15,8,2,16,13,6,4,2,6,2,3,3,22,6,4,2,2
166,20799,gauche,7,8,4,2,2,173,124,46,15,8,2,15,15,6,4,2,6,2,3,3,8,4,4,2,2
167,20937,gauche,4,6,4,2,2,186,130,49,14,8,2,14,15,5,4,3,7,3,2,2,4,3,4,1,1
168,21099,gauche,4,5,4,2,1,197,126,51,14,9,2,13,14,4,4,3,7,3,2,2,3,3,4,1,1
169,21099,gauche,4,3,4,2,1,210,113,54,15,9,2,13,13,3,3,3,7,3,2,2,3,2,4,1,1
170,21247,gauche,4,2,4,1,1,221,99,58,18,9,2,14,12,2,3,3,6,2,1,1,3,2,3,1,1
171,21410,gauche,3,2,4,1,1,232,87,59,21,9,2,16,11,2,2,3,6,2,1,1,3,1,2,1,1
172,21556,gauche,3,2,3,1,1,238,81,57,24,9,3,17,10,2,2,3,5,2,1,1,3,2,2,1,1
173,21720,gauche,3,2,2,1,1,238,78,51,27,9,3,18,9,2,2,2,4,1,1,1,3,2,1,1,1
174,21868,gauche,3,3,2,1,1,227,74,43,27,8,4,19,8,2,2,2,3,1,1,1,3,2,1,1,1
175,22029,gauche,5,3,2,1,1,199,53,25,25,7,4,19,9,3,2,2,2,1,1,1,4,2,1,1,1
176,22186,gauche,5,3,2,1,1,199,53,25,25,7,4,19,9,3,2,2,2,1,1,1,4,2,1,1,1
177,22186,gauche,7,3,2,1,1,209,40,20,23,7,4,19,10,3,2,2,2,2,1,1,4,2,1,1,1
178,22339,gauche,8,3,2,1,1,242,32,17,21,7,3,19,12,4,2,2,3,2,1,1,4,2,1,1,1
179,22504,gauche,8,3,2,1,1,290,30,17,19,7,3,18,13,4,2,2,3,2,1,1,4,3,1,1,1
180,22507,gauche,8,3,2,1,1,338,39,18,18,7,2,17,14,4,2,2,3,3,1,1,4,3,1,1,1
181,22829,gauche,7,4,2,1,1,705,81,25,15,7,1,15,12,4,2,1,4,3,1,1,3,4,2,1,1
182,22834,gauche,7,4,2,1,1,705,81,25,15,7,1,15,12,4,2,1,4,3,1,1,3,4,2,1,1
183,22987,gauche,5,4,2,1,1,2006,114,35,13,7,1,13,7,3,3,1,4,2,1,1,3,5,2,1,1
184,22990,gauche,5,4,2,1,1,2006,114,35,13,7,1,13,7,3,3,1,4,2,1,1,3,5,2,1,1
185,23314,gauche,4,5,2,1,1,3652,101,36,11,7,2,15,4,3,3,1,3,1,1,1,4,5,1,1,1
186,23317,gauche,4,5,2,1,1,3652,101,36,11,7,2,15,4,3,3,1,3,1,1,1,4,5,1,1,1
187,23472,gauche,6,6,2,1,1,3924,86,32,10,6,2,17,5,3,3,2,3,1,1,1,4,5,2,1,1
188,23644,gauche,9,6,2,2,1,3768,74,29,9,6,3,20,6,3,3,2,2,1,1,1,3,5,2,1,1
189,23800,gauche,21,7,2,1,1,2015,76,25,7,5,3,22,9,3,2,1,2,1,2,1,2,5,3,1,1
190,23803,gauche,21,7,2,1,1,2015,76,25,7,5,3,22,9,3,2,1,2,1,2,1,2,5,3,1,1
191,23981,gauche,28,6,2,1,1,1224,130,24,7,5,2,18,8,3,2,1,2,1,2,1,2,4,2,1,1
192,24148,gauche,28,6,2,1,1,1224,130,24,7,5,2,18,8,3,2,1,2,1,2,1,2,4,2,1,1
193,24148,gauche,26,6,2,1,1,1819,188,23,9,5,3,15,8,3,2,1,2,1,2,2,3,3,2,1,1
194,24352,gauche,16,4,2,1,1,3733,328,17,14,6,4,10,8,3,2,2,2,2,2,3,4,2,2,1,1
195,24526,gauche,11,4,2,1,1,4200,373,15,14,5,4,9,8,3,3,3,2,3,3,4,5,2,2,1,1
196,24528,gauche,11,4,2,1,1,4200,373,15,14,5,4,9,8,3,3,3,2,3,3,4,5,2,2,1,1
197,24706,gauche,6,3,2,2,1,3295,337,10,11,3,6,9,10,4,5,4,3,4,5,5,5,2,2,1,2
198,24883,gauche,6,3,2,2,1,3295,337,10,11,3,6,9,10,4,5,4,3,4,5,5,5,2,2,1,2
199,25067,gauche,5,2,2,2,1,1337,172,5,5,1,6,12,12,5,5,4,3,6,7,6,3,2,2,1,2
200,25069,gauche,5,2,2,2,1,1337,172,5,5,1,6,12,12,5,5,4,3,6,7,6,3,2,2,1,2
201,25235,gauche,4,2,2,3,1,202,38,2,1,0,5,16,14,5,4,3,3,7,8,6,2,2,2,2,1
202,25418,gauche,3,2,2,3,1,56,13,1,1,0,4,19,15,5,4,3,3,7,8,5,2,3,2,2,1
203,25418,gauche,3,2,2,3,1,56,13,1,1,0,4,19,15,5,4,3,3,7,8,5,2,3,2,2,1
204,25587,gauche,3,3,2,3,1,42,10,2,2,1,3,25,14,4,3,3,6,5,6,5,3,5,2,1,1
205,25780,gauche,3,3,2,3,1,42,10,2,2,1,3,25,14,4,3,3,6,5,6,5,3,5,2,1,1
206,25783,gauche,3,4,1,3,1,95,18,4,4,1,3,28,14,4,3,3,7,4,5,5,3,7,2,1,1
207,25942,gauche,4,5,1,3,1,159,29,7,6,2,3,30,14,4,3,3,8,3,5,5,3,7,2,1,1
208,26127,gauche,5,5,2,2,1,254,42,13,9,3,3,31,14,5,3,2,9,3,5,5,3,8,2,1,1
209,26326,gauche,6,5,2,2,1,338,56,20,12,4,2,30,13,6,3,2,9,3,5,5,3,8,2,1,1
210,26329,gauche,6,6,2,2,1,422,71,28,16,5,2,27,12,6,2,2,8,3,5,5,4,8,2,2,1
211,26528,gauche,7,6,2,2,1,460,85,34,20,6,3,24,10,6,2,2,7,3,6,4,5,8,2,2,1
212,26531,gauche,7,7,2,2,1,475,99,37,22,8,3,21,7,6,2,2,6,3,6,4,6,8,2,2,1
213,26737,gauche,6,8,2,2,1,440,111,37,23,9,4,20,5,6,2,2,5,3,6,4,8,9,2,2,1
214,26947,gauche,6,9,2,2,1,398,120,33,23,11,6,19,3,6,2,2,5,3,6,4,9,9,2,2,1
215,26948,gauche,5,9,2,2,1,339,125,28,22,13,6,20,2,5,2,2,5,3,5,4,9,9,1,2,1
216,27149,gauche,5,9,1,2,1,297,125,25,21,15,7,21,1,5,2,2,5,2,4,5,8,9,1,2,1
217,27354,gauche,5,8,1,2,1,256,120,25,21,16,6,22,2,5,3,2,6,2,4,5,7,9,1,2,1
218,27358,gauche,4,8,1,1,1,223,111,27,21,17,6,23,2,5,3,2,7,2,3,6,5,8,1,2,1
219,27358,gauche,4,7,1,1,1,194,100,31,21,17,5,24,2,5,3,2,7,1,3,6,4,8,1,2,1
220,27560,gauche,4,6,1,1,1,188,88,33,21,17,4,25,2,5,3,2,7,1,2,7,3,7,1,1,1
221,27766,gauche,3,6,1,1,1,220,76,33,20,15,4,24,2,5,3,2,7,1,2,7,3,6,1,1,1
222,27770,gauche,2,5,1,1,1,291,64,32,20,14,3,23,2,4,3,1,5,1,2,7,3,5,1,1,1
