n,time,AF3_theta,AF3_alpha,AF3_betaL,AF3_betaH,AF3_gamma,T7_theta,T7_alpha,T7_betaL,T7_betaH,T7_gamma,Pz_theta,Pz_alpha,Pz_betaL,Pz_betaH,Pz_gamma,T8_theta,T8_alpha,T8_betaL,T8_betaH,T8_gamma,AF4_theta,AF4_alpha,AF4_betaL,AF4_betaH,AF4_gamma
138,17312,gauche,1594,273,45,83,30,44,19,10,15,8,24,9,3,4,6,13,7,4,4,4,1516,294,48,82,31
139,17464,gauche,1480,251,44,78,28,44,22,9,14,10,24,9,4,5,7,14,7,4,5,5,1405,266,44,78,29
140,17593,gauche,1178,201,38,64,23,42,26,9,13,11,28,9,4,6,8,18,9,4,6,6,1123,208,36,65,23
141,17743,gauche,795,141,31,45,16,40,28,10,12,13,37,9,6,7,9,24,12,4,7,7,753,141,26,47,17
142,17882,gauche,444,90,25,28,10,38,30,12,12,15,52,10,8,8,11,31,17,5,7,7,417,83,17,30,10
143,18021,gauche,202,57,20,15,6,36,29,14,13,16,67,12,11,9,13,38,22,6,7,8,180,47,11,17,6
144,18025,gauche,82,40,17,8,3,33,27,15,14,16,77,13,14,10,15,41,24,7,6,8,63,30,8,10,3
145,18294,gauche,30,14,8,3,2,22,19,18,12,13,62,11,28,8,21,25,17,6,4,9,18,16,5,5,2
146,18297,gauche,23,9,6,3,2,20,17,19,11,12,52,10,34,8,21,16,13,5,3,9,15,12,5,4,2
147,18428,gauche,17,6,5,2,2,18,16,19,10,11,46,10,37,7,21,9,9,5,3,9,11,9,5,3,2
148,18576,gauche,12,4,5,2,2,16,15,19,9,10,44,11,38,6,19,5,7,4,2,8,8,7,5,3,2
149,18702,gauche,8,3,4,2,2,15,16,19,8,9,41,12,35,6,17,3,6,4,2,8,6,6,5,2,2
150,18839,gauche,5,3,4,2,1,18,16,17,7,8,35,12,28,6,15,2,5,4,3,7,5,5,5,2,2
151,18974,gauche,4,3,3,2,1,28,17,14,6,7,27,13,21,7,13,2,4,4,3,6,8,5,4,2,1
152,19103,gauche,18,8,5,3,1,45,19,12,6,6,18,12,14,9,12,3,4,4,3,6,28,14,6,2,2
153,19247,gauche,162,60,29,12,5,80,24,10,7,7,11,10,5,13,12,7,5,5,5,7,182,88,27,13,5
154,19378,gauche,294,108,52,22,8,86,26,11,8,7,14,10,4,14,13,11,5,5,5,7,319,155,48,23,8
155,19527,gauche,294,108,52,22,8,86,26,11,8,7,14,10,4,14,13,11,5,5,5,7,319,155,48,23,8
156,19529,gauche,434,158,76,32,11,82,29,11,10,8,20,11,4,13,14,13,6,5,6,7,450,224,71,33,11
157,19813,gauche,536,195,94,39,14,67,30,12,11,8,24,12,3,13,13,15,7,5,6,7,549,274,90,40,13
158,19815,gauche,567,206,99,42,14,49,29,12,12,9,26,13,3,12,12,15,7,4,7,6,568,288,96,43,14
159,19959,gauche,514,186,90,38,13,32,26,12,12,10,24,12,3,12,11,13,6,4,6,6,513,260,89,39,13
160,20115,gauche,398,144,70,29,10,21,21,12,12,11,21,11,3,12,9,11,5,3,6,6,394,201,71,30,10
161,20257,gauche,257,92,45,19,7,15,17,13,12,12,17,11,3,13,9,8,5,3,5,6,257,131,48,20,7
162,20259,gauche,133,48,24,10,4,13,14,14,13,13,15,11,4,14,8,6,4,3,4,6,136,69,26,11,4
163,20544,gauche,52,18,10,5,2,13,13,14,13,12,14,12,4,13,8,4,4,3,4,6,56,28,12,5,2
164,20693,gauche,7,3,2,2,1,14,19,13,12,9,16,13,4,10,7,4,4,3,3,4,7,4,2,2,1
165,20693,gauche,7,3,2,2,1,14,19,13,12,9,16,13,4,10,7,4,4,3,3,4,7,4,2,2,1
166,20829,gauche,16,6,4,3,1,16,24,12,10,8,16,13,4,9,6,4,4,4,3,3,13,5,4,2,2
167,20987,gauche,41,13,8,5,2,20,27,11,9,7,15,11,4,8,6,4,4,4,3,3,34,11,8,4,2
168,21126,gauche,77,24,14,8,3,24,27,11,11,7,13,9,4,8,6,5,4,4,3,3,66,20,16,7,3
169,21286,gauche,120,35,22,11,4,28,25,10,15,8,11,6,4,10,7,4,4,4,3,3,103,29,24,10,4
170,21432,gauche,171,48,31,16,5,34,15,10,28,12,7,4,5,17,9,3,3,3,2,3,148,40,35,14,5
171,21432,gauche,171,48,31,16,5,34,15,10,28,12,7,4,5,17,9,3,3,3,2,3,148,40,35,14,5
172,21600,gauche,163,45,30,15,5,38,11,10,33,13,5,4,7,20,9,3,3,3,2,3,141,38,34,14,5
173,21739,gauche,133,36,24,13,4,46,10,10,36,14,5,5,9,22,10,3,3,3,2,3,116,31,28,11,4
174,21899,gauche,54,14,10,6,3,75,10,10,32,15,7,9,11,22,9,5,2,4,4,3,49,13,11,6,3
175,22050,gauche,54,14,10,6,3,75,10,10,32,15,7,9,11,22,9,5,2,4,4,3,49,13,11,6,3
176,22054,gauche,27,7,5,3,3,91,11,12,26,14,9,12,12,19,8,7,2,5,5,4,25,7,6,4,2
177,22216,gauche,6,3,2,2,2,88,14,24,12,16,12,17,18,10,8,9,3,9,6,4,6,4,2,2,1
178,22367,gauche,5,4,3,2,1,51,16,29,10,15,11,14,23,7,8,8,3,9,5,4,5,4,3,2,1
179,22534,gauche,5,3,3,2,1,36,18,29,10,14,10,11,22,6,7,7,3,8,4,4,6,4,3,2,1
