n,time,AF3_theta,AF3_alpha,AF3_betaL,AF3_betaH,AF3_gamma,T7_theta,T7_alpha,T7_betaL,T7_betaH,T7_gamma,Pz_theta,Pz_alpha,Pz_betaL,Pz_betaH,Pz_gamma,T8_theta,T8_alpha,T8_betaL,T8_betaH,T8_gamma,AF4_theta,AF4_alpha,AF4_betaL,AF4_betaH,AF4_gamma
173,21534,droite,455,284,178,60,28,1949,1027,450,268,90,784,477,326,134,52,202,107,69,17,11,771,487,311,111,44
174,21537,droite,1253,760,406,140,68,3527,2069,835,408,164,1804,1034,518,197,102,436,239,116,39,21,1866,1143,578,198,95
175,21731,droite,2607,1560,778,277,131,6464,3838,1550,670,292,3750,2136,988,374,193,841,460,195,74,36,3817,2318,1076,387,185
176,21734,droite,4279,2527,1208,437,205,10227,5985,2414,980,444,6193,3478,1566,586,301,1352,730,291,114,55,6243,3736,1667,612,290
177,21918,droite,5796,3384,1572,572,269,13753,7890,3174,1238,575,8431,4675,2063,765,392,1827,972,377,147,71,8466,4991,2169,801,379
178,22121,droite,6674,3844,1747,636,299,15816,8901,3570,1353,639,9717,5326,2309,853,437,2106,1102,423,162,78,9751,5663,2409,891,422
179,22121,droite,5605,3116,1367,492,233,13292,7186,2868,1034,501,8099,4343,1822,674,346,1759,894,342,125,62,8192,4591,1881,690,329
180,22313,droite,5605,3116,1367,492,233,13292,7186,2868,1034,501,8099,4343,1822,674,346,1759,894,342,125,62,8192,4591,1881,690,329
181,22521,droite,1139,544,228,77,39,2548,1247,500,161,83,1497,767,311,128,69,331,158,62,21,12,1613,803,305,107,53
182,22522,droite,119,25,13,5,4,204,54,26,8,6,74,45,32,25,18,22,12,5,3,3,117,34,12,5,4
183,22718,droite,119,25,13,5,4,204,54,26,8,6,74,45,32,25,18,22,12,5,3,3,117,34,12,5,4
184,22922,droite,48,23,9,6,4,31,3,2,2,2,17,16,25,13,7,5,5,2,2,2,35,17,6,5,3
185,22922,droite,63,38,14,8,5,28,4,4,3,2,28,26,34,15,7,11,10,5,3,2,63,37,18,10,5
186,23116,droite,118,84,40,18,8,46,19,16,6,3,170,136,100,41,17,66,52,34,13,6,246,170,95,40,18
187,23118,droite,272,200,116,42,18,118,67,55,18,8,642,479,296,114,46,237,179,119,41,17,800,574,323,127,52
188,23330,droite,1373,946,658,199,79,666,402,329,98,40,4211,2933,1658,594,240,1503,1052,720,228,91,4836,3496,1865,691,279
189,23528,droite,1670,1129,804,236,94,813,486,403,117,47,5198,3578,2006,708,285,1849,1272,880,273,109,5932,4278,2247,825,332
190,23530,droite,1748,1160,841,241,96,850,503,422,120,48,5475,3730,2079,723,290,1946,1316,920,280,111,6221,4475,2315,844,339
191,23747,droite,1581,1028,757,212,84,765,448,381,105,43,4942,3330,1847,633,253,1757,1170,826,246,97,5592,4011,2046,740,297
192,23749,droite,298,111,73,19,7,93,58,43,11,5,455,285,163,51,22,164,102,80,21,8,538,356,162,57,23
193,23963,droite,298,111,73,19,7,93,58,43,11,5,455,285,163,51,22,164,102,80,21,8,538,356,162,57,23
194,24200,droite,369,198,163,135,85,31,18,6,3,1,36,36,56,41,28,89,96,86,84,52,78,28,10,7,4
195,24200,droite,910,866,827,670,423,16,4,3,4,2,158,121,178,166,106,492,456,419,412,255,36,36,36,23,16
196,24432,droite,515,490,466,376,237,12,2,3,3,1,102,77,107,97,60,295,260,238,233,143,23,20,22,13,10
197,24433,droite,17,8,6,4,2,26,4,3,1,1,34,14,7,4,3,9,6,3,3,2,11,3,2,2,1
198,24673,droite,9,3,2,1,0,34,5,3,1,0,37,14,6,3,2,5,3,1,1,1,8,3,2,1,1
199,24674,droite,8,2,5,1,0,57,9,9,3,1,25,18,10,5,1,10,4,6,2,0,9,3,5,2,1
200,24897,droite,14,3,10,2,1,62,14,16,4,2,19,18,10,6,1,15,6,12,3,1,14,4,11,2,1
201,24897,droite,21,5,19,4,1,65,18,26,7,4,17,23,13,9,2,22,9,21,5,2,24,9,20,4,2
202,25138,droite,55,23,49,15,5,66,24,38,10,6,72,90,56,38,11,36,23,34,11,4,79,61,60,28,9
203,25138,droite,212,86,174,58,22,92,55,73,31,14,300,349,222,145,39,73,86,59,39,11,264,265,189,113,33
204,25363,droite,634,241,498,174,69,206,171,186,111,43,793,912,572,375,96,158,261,114,117,29,640,716,450,296,79
205,25363,droite,1393,521,1078,390,160,471,430,434,291,107,1537,1765,1091,720,179,314,583,215,265,65,1191,1412,829,571,147
206,25643,droite,2404,904,1851,691,286,890,837,817,570,208,2377,2734,1663,1112,268,530,1020,355,469,116,1795,2217,1242,882,220
207,25644,droite,3417,1306,2629,1010,419,1385,1316,1263,895,324,3065,3534,2114,1434,337,766,1466,505,684,171,2274,2899,1563,1137,277
208,25871,droite,3417,1306,2629,1010,419,1385,1316,1263,895,324,3065,3534,2114,1434,337,766,1466,505,684,171,2274,2899,1563,1137,277
209,25872,droite,1831,836,1428,647,262,1120,1076,984,708,256,939,1116,622,465,99,555,819,333,419,115,677,975,420,357,78
210,26124,droite,934,460,729,354,141,635,611,548,397,144,389,465,269,202,44,327,421,187,225,64,289,418,163,152,33
211,26124,droite,359,197,275,151,59,280,265,230,171,63,113,130,96,65,16,157,162,83,94,29,91,122,42,48,12
212,26358,droite,96,61,66,49,19,93,80,63,51,20,33,25,43,20,8,59,44,28,32,11,28,23,9,16,6
213,26359,droite,23,16,10,16,7,34,21,10,12,6,26,13,31,12,6,20,15,10,13,6,16,11,7,11,6
214,26618,droite,23,16,10,16,7,34,21,10,12,6,26,13,31,12,6,20,15,10,13,6,16,11,7,11,6
215,26619,droite,15,17,11,10,6,32,26,9,6,5,29,12,17,11,6,13,24,14,10,6,18,20,14,9,6
216,26861,droite,55,36,23,9,6,63,43,20,6,5,29,10,13,13,6,51,44,29,10,6,58,38,28,9,6
217,26861,droite,741,285,146,25,7,611,250,115,17,5,21,10,14,21,8,707,274,164,27,7,734,273,158,23,6
218,27127,droite,1086,400,194,33,6,884,344,150,22,5,20,12,14,23,8,1034,377,216,34,7,1071,380,207,31,6
219,27127,droite,1332,479,221,38,5,1076,408,171,25,5,20,14,13,24,9,1265,446,245,39,6,1306,453,235,35,5
220,27375,droite,1416,493,218,38,5,1133,418,168,25,4,21,15,13,24,9,1341,457,242,39,5,1383,466,231,36,5
221,27375,droite,1289,439,186,33,4,1020,370,144,22,3,21,16,13,23,8,1218,406,206,34,4,1253,414,196,32,4
