n,time,AF3_theta,AF3_alpha,AF3_betaL,AF3_betaH,AF3_gamma,T7_theta,T7_alpha,T7_betaL,T7_betaH,T7_gamma,Pz_theta,Pz_alpha,Pz_betaL,Pz_betaH,Pz_gamma,T8_theta,T8_alpha,T8_betaL,T8_betaH,T8_gamma,AF4_theta,AF4_alpha,AF4_betaL,AF4_betaH,AF4_gamma
126,15922,droite,3,2,2,3,2,143,66,121,24,6,1,2,2,19,7,4,1,1,1,1,3,1,2,3,2
127,16067,droite,3,2,4,3,3,149,60,111,23,7,1,2,2,17,7,2,1,0,1,1,3,1,4,3,2
128,16199,droite,4,3,5,5,4,129,49,87,19,6,5,6,5,21,9,2,1,1,1,1,6,4,8,6,4
129,16344,droite,16,16,17,17,10,111,43,63,20,9,39,41,38,53,27,3,2,2,3,2,37,34,39,29,20
130,16476,droite,54,59,55,55,31,113,54,58,35,18,157,158,151,158,86,8,7,6,7,4,141,134,137,108,73
131,16477,droite,130,142,132,129,73,146,87,80,71,39,393,392,373,363,200,19,18,16,16,10,351,333,326,262,177
132,16631,droite,237,259,242,233,131,207,138,129,123,68,731,723,687,652,361,34,32,29,29,18,651,615,588,480,322
133,16763,droite,350,383,359,341,193,279,192,188,178,99,1092,1075,1016,956,530,51,47,44,42,26,974,915,862,711,475
134,16914,droite,435,476,446,420,238,333,229,235,217,121,1365,1340,1260,1181,653,63,57,55,52,32,1220,1138,1061,883,586
135,17051,droite,462,506,474,442,251,352,236,254,227,128,1456,1425,1333,1247,689,67,60,58,55,34,1305,1209,1118,936,619
136,17204,droite,421,461,432,400,228,336,209,237,207,117,1332,1299,1208,1132,624,62,54,53,49,31,1197,1100,1011,851,560
137,17344,droite,327,358,334,308,176,287,159,195,166,95,1038,1009,932,876,482,49,42,42,38,24,935,851,778,658,431
138,17346,droite,213,232,214,197,113,226,102,143,122,70,674,653,598,567,310,33,27,27,24,16,609,548,499,424,276
139,17506,droite,111,120,109,101,59,164,58,98,90,50,349,337,305,295,159,18,15,15,13,9,317,280,255,217,141
140,17651,droite,44,46,40,38,23,124,33,70,76,39,131,127,113,117,61,9,8,7,5,4,121,104,95,81,53
141,17813,droite,12,12,9,10,8,110,27,57,73,36,30,29,25,36,16,4,5,4,2,1,29,23,22,19,13
142,17957,droite,44,14,6,4,5,138,29,52,72,34,3,3,3,16,5,7,5,5,1,1,37,12,6,5,4
143,18109,droite,321,85,29,9,6,193,35,52,65,29,2,1,1,15,4,37,15,11,4,2,291,78,27,9,4
144,18239,droite,1118,289,97,25,9,295,51,57,53,23,3,1,2,16,4,130,46,29,11,5,1023,266,91,24,7
145,18239,droite,2592,657,220,55,14,434,85,71,39,18,7,2,2,16,5,310,104,62,26,11,2378,606,205,52,11
146,18393,droite,4521,1144,383,95,20,582,137,93,29,15,10,3,3,16,5,556,185,108,46,20,4154,1056,357,89,17
147,18525,droite,4521,1144,383,95,20,582,137,93,29,15,10,3,3,16,5,556,185,108,46,20,4154,1056,357,89,17
148,18686,droite,6492,1623,543,136,25,718,197,117,24,15,14,4,4,16,6,813,268,155,67,29,5967,1499,506,127,23
149,18823,droite,8042,1991,668,168,29,828,277,134,22,17,16,5,5,17,7,1047,345,198,86,38,7387,1840,621,156,27
150,18826,droite,7047,1749,587,148,25,815,273,118,20,16,14,4,5,16,7,938,310,178,78,35,6464,1616,546,138,24
151,18989,droite,5289,1302,438,111,19,829,238,90,16,13,11,4,5,16,7,720,237,136,60,27,4860,1202,406,103,18
152,19138,droite,5289,1302,438,111,19,829,238,90,16,13,11,4,5,16,7,720,237,136,60,27,4860,1202,406,103,18
153,19314,droite,3246,802,269,68,12,790,185,59,11,9,7,3,5,15,7,454,151,86,38,18,2984,739,250,63,11
