n,time,AF3_theta,AF3_alpha,AF3_betaL,AF3_betaH,AF3_gamma,T7_theta,T7_alpha,T7_betaL,T7_betaH,T7_gamma,Pz_theta,Pz_alpha,Pz_betaL,Pz_betaH,Pz_gamma,T8_theta,T8_alpha,T8_betaL,T8_betaH,T8_gamma,AF4_theta,AF4_alpha,AF4_betaL,AF4_betaH,AF4_gamma
183,23026,neutre,15,24,14,15,8,80,78,72,60,35,30,23,22,45,15,10,14,11,11,7,142,148,138,117,78
184,23257,neutre,15,24,14,15,8,80,78,72,60,35,30,23,22,45,15,10,14,11,11,7,142,148,138,117,78
185,23261,neutre,76,88,70,72,39,323,372,352,313,177,114,95,97,125,50,51,54,50,52,28,769,761,724,614,404
186,23451,neutre,119,130,109,111,60,491,574,541,485,274,169,147,149,176,73,80,81,77,80,43,1206,1184,1123,953,625
187,23454,neutre,156,163,141,142,78,630,740,696,627,354,215,191,192,216,91,104,103,100,103,54,1575,1537,1450,1231,806
188,23675,neutre,175,174,155,156,85,692,814,763,689,388,236,212,212,232,99,116,112,110,113,60,1758,1701,1596,1354,885
189,23875,neutre,176,161,146,147,81,652,769,718,650,366,224,204,201,217,94,111,104,104,107,56,1697,1618,1506,1277,833
190,23875,neutre,170,129,118,118,65,526,620,578,523,294,183,169,165,178,77,91,83,84,87,46,1420,1320,1214,1028,669
191,24097,neutre,170,92,80,80,44,358,418,391,354,199,127,119,115,125,54,63,56,57,60,31,1032,909,821,693,450
192,24302,neutre,180,61,45,44,25,201,227,214,193,108,73,69,68,76,34,36,30,32,34,18,654,515,449,377,244
193,24305,neutre,197,42,21,19,11,93,93,88,80,44,34,33,35,41,20,16,13,15,16,8,378,230,186,153,98
194,24523,neutre,205,35,10,6,4,42,26,25,22,12,13,14,19,23,13,6,6,7,7,3,224,80,53,40,25
195,24529,neutre,193,33,7,3,2,30,7,6,4,2,6,6,16,18,12,3,4,5,4,2,156,30,12,6,3
196,24739,neutre,163,31,7,2,1,31,6,4,3,1,4,5,17,17,13,2,5,6,3,2,124,21,7,2,1
197,24741,neutre,134,26,7,2,2,31,8,3,3,1,3,4,17,17,14,2,6,6,3,2,102,18,7,2,1
198,24966,neutre,127,22,5,2,2,33,10,3,3,1,2,4,16,16,15,3,6,6,3,2,93,16,6,3,1
199,24974,neutre,145,20,4,3,2,38,11,3,3,2,2,3,13,15,15,4,6,5,3,2,102,15,5,3,2
200,25191,neutre,176,20,3,3,2,46,12,3,3,2,2,2,10,14,15,6,6,4,3,2,121,16,5,3,2
201,25424,neutre,200,22,3,3,3,56,12,3,4,3,2,2,9,13,15,9,5,3,3,2,135,16,5,3,3
202,25425,neutre,199,22,3,3,3,65,12,3,4,3,3,1,8,13,15,12,5,3,3,3,134,17,5,3,3
203,25428,neutre,170,21,4,4,4,69,11,3,4,4,4,1,8,12,14,15,6,3,3,3,114,16,5,4,4
204,25648,neutre,125,18,4,4,4,68,11,3,4,4,7,1,8,13,14,16,7,4,3,4,84,13,5,4,4
205,25885,neutre,44,10,4,5,5,52,8,3,5,4,13,3,7,16,12,14,7,3,3,5,30,9,3,5,5
206,25886,neutre,44,10,4,5,5,52,8,3,5,4,13,3,7,16,12,14,7,3,3,5,30,9,3,5,5
207,26109,neutre,24,6,3,5,5,45,6,3,5,4,16,5,6,17,11,13,7,3,4,5,19,7,3,5,5
208,26109,neutre,17,4,3,5,5,40,5,3,5,4,18,5,6,19,10,15,7,3,4,5,19,6,2,5,5
209,26350,neutre,20,3,2,6,5,39,5,3,5,3,17,5,6,20,9,22,7,3,4,4,26,5,2,5,4
210,26350,neutre,27,3,2,6,4,39,6,3,5,3,16,5,6,19,8,33,8,4,5,4,38,5,3,5,4
211,26582,neutre,47,5,3,6,4,44,13,4,5,3,11,4,7,18,7,55,10,5,5,3,60,6,3,6,4
212,26582,neutre,47,5,3,6,4,44,13,4,5,3,11,4,7,18,7,55,10,5,5,3,60,6,3,6,4
213,26831,neutre,59,7,4,6,3,51,17,4,4,3,8,3,8,18,8,56,10,5,4,4,59,7,3,5,4
214,26831,neutre,59,7,4,6,3,51,17,4,4,3,8,3,8,18,8,56,10,5,4,4,59,7,3,5,4
215,27065,neutre,58,7,3,5,4,53,16,3,4,3,8,3,8,18,8,48,9,4,4,4,49,8,3,5,4
216,27315,neutre,54,7,3,4,4,54,14,3,4,4,7,3,7,19,8,38,7,4,3,5,38,7,3,4,4
217,27317,neutre,48,6,3,4,4,53,12,3,4,4,6,3,6,20,8,29,5,4,3,5,28,7,3,4,5
218,27549,neutre,41,5,3,3,4,49,10,2,4,4,4,2,5,20,9,24,4,4,4,5,22,6,3,3,5
