n,time,AF3_theta,AF3_alpha,AF3_betaL,AF3_betaH,AF3_gamma,T7_theta,T7_alpha,T7_betaL,T7_betaH,T7_gamma,Pz_theta,Pz_alpha,Pz_betaL,Pz_betaH,Pz_gamma,T8_theta,T8_alpha,T8_betaL,T8_betaH,T8_gamma,AF4_theta,AF4_alpha,AF4_betaL,AF4_betaH,AF4_gamma
84,10617,neutre,0,0,0,0,0,443,60,40,64,24,96,23,15,10,11,0,0,0,0,0,0,0,0,0,0
85,10719,neutre,0,0,0,0,0,484,70,46,70,24,104,24,17,11,10,0,0,0,0,0,0,0,0,0,0
86,10936,neutre,0,0,0,0,0,489,79,52,71,23,103,22,16,11,9,0,0,0,0,0,0,0,0,0,0
87,11038,neutre,0,0,0,0,0,472,91,57,67,21,93,18,15,11,8,0,0,0,0,0,0,0,0,0,0
88,11158,neutre,0,0,0,0,0,459,107,62,63,20,75,13,12,10,7,0,0,0,0,0,0,0,0,0,0
89,11263,neutre,0,0,0,0,0,450,123,67,61,20,55,9,9,8,7,0,0,0,0,0,0,0,0,0,0
90,11380,neutre,0,0,0,0,0,450,123,67,61,20,55,9,9,8,7,0,0,0,0,0,0,0,0,0,0
91,11489,neutre,0,0,0,0,0,420,138,72,62,22,24,3,5,7,7,0,0,0,0,0,0,0,0,0,0
92,11607,neutre,0,0,0,0,0,364,126,67,59,21,16,2,4,7,7,0,0,0,0,0,0,0,0,0,0
93,11715,neutre,0,0,0,0,0,287,101,57,52,19,13,2,4,9,8,0,0,0,0,0,0,0,0,0,0
94,11838,neutre,0,0,0,0,0,200,71,44,41,15,10,2,4,10,9,0,0,0,0,0,0,0,0,0,0
95,11950,neutre,0,0,0,0,0,118,45,31,28,11,8,1,3,11,9,0,0,0,0,0,0,0,0,0,0
96,12078,neutre,0,0,0,0,0,62,28,22,17,8,6,1,3,11,10,0,0,0,0,0,0,0,0,0,0
97,12311,neutre,0,0,0,0,0,36,22,16,9,7,5,2,4,12,10,0,0,0,0,0,0,0,0,0,0
98,12437,neutre,0,0,0,0,0,28,22,15,6,7,6,2,5,12,11,0,0,0,0,0,0,0,0,0,0
99,12549,neutre,0,0,0,0,0,29,25,15,5,7,9,4,6,12,11,0,0,0,0,0,0,0,0,0,0
100,12678,neutre,0,0,0,0,0,32,27,17,5,7,13,5,8,12,11,0,0,0,0,0,0,0,0,0,0
101,12805,neutre,0,0,0,0,0,35,28,19,6,7,17,6,10,13,12,0,0,0,0,0,0,0,0,0,0
102,12925,neutre,0,0,0,0,0,35,27,19,8,7,19,8,11,13,12,0,0,0,0,0,0,0,0,0,0
103,13057,neutre,0,0,0,0,0,33,24,18,10,7,18,8,11,13,13,0,0,0,0,0,0,0,0,0,0
104,13176,neutre,0,0,0,0,0,29,19,17,12,7,16,8,11,14,13,0,0,0,0,0,0,0,0,0,0
105,13309,neutre,0,0,0,0,0,25,14,15,14,8,14,7,10,14,14,0,0,0,0,0,0,0,0,0,0
106,13309,neutre,0,0,0,0,0,23,9,14,15,9,13,6,9,15,14,0,0,0,0,0,0,0,0,0,0
107,13564,neutre,0,0,0,0,0,24,6,14,15,10,16,5,8,15,14,0,0,0,0,0,0,0,0,0,0
108,13689,neutre,0,0,0,0,0,30,5,14,13,11,21,4,7,14,14,0,0,0,0,0,0,0,0,0,0
109,13834,neutre,0,0,0,0,0,41,5,15,12,11,28,3,6,14,13,0,0,0,0,0,0,0,0,0,0
110,13835,neutre,0,0,0,0,0,63,5,15,9,10,34,4,6,13,12,0,0,0,0,0,0,0,0,0,0
111,13957,neutre,0,0,0,0,0,97,6,15,7,8,41,5,5,13,12,0,0,0,0,0,0,0,0,0,0
112,14097,neutre,0,0,0,0,0,144,6,14,6,7,46,6,4,13,12,0,0,0,0,0,0,0,0,0,0
113,14219,neutre,0,0,0,0,0,188,6,13,5,5,51,8,4,14,11,0,0,0,0,0,0,0,0,0,0
114,14357,neutre,0,0,0,0,0,188,6,13,5,5,51,8,4,14,11,0,0,0,0,0,0,0,0,0,0
115,14485,neutre,0,0,0,0,0,237,9,10,4,4,60,10,4,15,11,0,0,0,0,0,0,0,0,0,0
116,14629,neutre,0,0,0,0,0,237,9,10,4,4,60,10,4,15,11,0,0,0,0,0,0,0,0,0,0
117,14756,neutre,0,0,1,0,0,196,14,9,6,4,61,8,4,15,12,0,0,0,0,0,0,0,0,0,0
118,14900,neutre,13,13,14,12,8,153,17,9,6,5,68,13,12,22,16,10,11,11,10,6,1,1,1,1,1
119,15034,neutre,78,75,76,66,42,110,19,11,8,6,104,51,49,54,35,61,62,60,53,34,7,7,7,6,4
120,15179,neutre,233,223,226,194,124,79,23,16,10,7,198,145,140,133,79,184,185,178,157,99,20,21,21,17,11
121,15316,neutre,489,463,468,400,255,65,29,21,14,10,352,301,286,261,149,387,384,368,325,204,42,45,44,36,23
122,15316,neutre,489,463,468,400,255,65,29,21,14,10,352,301,286,261,149,387,384,368,325,204,42,45,44,36,23
123,15601,neutre,1086,1000,1017,864,549,56,40,33,22,16,709,656,614,547,306,856,835,795,701,438,91,100,95,76,50
124,15602,neutre,1248,1133,1155,980,621,61,44,35,25,18,800,746,695,616,344,979,948,902,794,495,103,114,107,86,57
125,15735,neutre,1248,1133,1155,980,621,61,44,35,25,18,800,746,695,616,344,979,948,902,794,495,103,114,107,86,57
126,15889,neutre,1041,911,936,791,500,70,41,32,23,16,649,605,560,496,278,803,767,728,639,397,85,95,87,70,47
127,16026,neutre,746,635,656,554,349,79,36,28,19,14,456,425,391,349,197,566,537,509,446,277,61,68,61,49,33
128,16182,neutre,440,359,375,315,199,88,31,23,15,11,261,243,223,202,117,326,306,289,253,157,37,40,35,28,20
129,16324,neutre,203,154,163,137,86,94,27,19,11,9,115,106,97,92,57,143,132,125,109,67,18,18,15,12,9
130,16480,neutre,67,43,47,39,25,89,22,15,9,7,35,31,29,33,24,41,37,35,30,19,7,6,5,4,3
